Lifecycle;Kurzname;ALM-ID;Name;Kurzbeschreibung;ADM Org. Einheit;Applikationsverantwortlicher (ADM);Letzte Žnderung
In Produktion;Leserservice;ICTO-164;Leserservice DPAG;Gewinnung von Abonnenten und Probeleser von Zeitungen und Zeitschriften ber eine Online Marketing Plattform;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kowatsch,J.,SNL IT P&P,Abt 1220,BN;17.08.2022
In Produktion;MKP;ICTO-905;Multikanalplattform;Multikanalplattform zur konsistenten, kanalbergreifenden, elektronischen Kommunikation der Deutschen Post mit ihren Kunden;Abt 1110, ADM Endkunden Paket (00057829);Hucke,D.,SNL IT P&P,Abt 1110,BN;18.08.2022
In Produktion;MarA;ITR-3648;Marketing Automation;Steuerung von Kampagnen, harmonisierte Kommunikation mit Kunden auf Basis von vorhandenen Daten (z.B. Sendungen) und aktuellen Interaktionen;Abt 1110, ADM Endkunden Paket (00057829);Hucke,D.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;CaMa;ITR-3649;Campaign Management;Campaign Management;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
In Produktion;DeHu;ITR-3650;Decisioning Hub;Decisioning Hub;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
In Produktion;NOL-P;ICTO-1783;Nextt Online Public;Nextt Online Public - Sendungsbeauskunftung fr Privatkunden;Abt 1110, ADM Endkunden Paket (00057829);Heimann,R.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;DASSP;ITR-4253;DASSP;Track&Trace DHL PAKET Public;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
Ausser Produktion;NOLP;APP-2358;neXtt online public-1015;- zu erg„nzen -;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
In Produktion;Public Pull API;ITR-4435;Public Pull API;Track & Trace - Daten DHL Paket;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;PK UI's;ICTO-1004;Privatkunden Online Plattform Post&Paket;Plattform der Online-Widgets fr die Zielgruppen Privatkunden Post & Paket. Z.B. Registrierung, Meine Daten, Bonus, Briefankndigug;Abt 1110, ADM Endkunden Paket (00057829);Freitag,M.,SNL IT P&P,Abt 1110,BN;02.09.2022
Geplant;PRIMUS;ITR-3741;Privatkunden Master fr bergreifende Stammdaten;IT-System fr Speicherung und Verwaltung P&P bergreifender Privatkundenstammdaten;Abt 1110, ADM Endkunden Paket (00057829);;17.08.2022
Geplant;PSPS;ITR-4404;Packstation Parcel Service;Der Packstationsparcelservice (PPS) liefert Sendungsdaten inkl. Abholcode (FLAC) des Packstationsbrokers an die Packstationss„ule in der App aus.;Abt 1110, ADM Endkunden Paket (00057829);Heimann,R.,SNL IT P&P,Abt 1110,BN;17.08.2022
Ausser Produktion;PortoCode;ICTO-1219;PortoCode;System zur Anreicherung digitaler Inhalte und Gesch„ftsprozesse;null (null);;17.08.2022
In Produktion;Portoberater;ICTO-862;Portoberater;Berechnung der Kosten fr den Versand mit Produkten der Deutsche Post und DHL;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Esselborn,C., SNL IT P&P, 1130, BN;07.09.2022
Ausser Produktion;PK;APP-5500;Portokalkulator-1760;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;Portoberater_App;APP-5406;Portoberater_App;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Esselborn,C., SNL IT P&P, 1130, BN;17.08.2022
In Produktion;Post & DHL App;ICTO-3100;Post & DHL App;Post & DHL App - fr Endkunden mit allen Funktionen fr Post- und Paket-Produkte;Abt 1110, ADM Endkunden Paket (00057829);Schmidt,K.,SNL IT P&P,Abt 1110,BN;07.09.2022
Ausser Produktion;Post Individuell;ICTO-610;Post Individuell Onlineshop;Sammlung von Applikationen fr die Produkte Plusbrief/-karte/Portocard Implementierung in Mailingfactory und SAP ERP Philatelie;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Esselborn,C., SNL IT P&P, 1130, BN;17.08.2022
In Produktion;Premiumadress;ICTO-240;Premiumadress;Untersttzung Versender (BRIEF) bei Adresskorrekturen durch Vorausverfgungen, Unzustellbarkeitsdatenbanken, durch Zusteller ermittelte korrekte Adressen, etc.;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Wolbeck,K.,SNL IT P&P,Abt 1120,BN;24.08.2022
In Produktion;PremaddKonv;ITR-3599;Premiumaddress-Konverter;Premiumaddress-Konverter;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
In Produktion;PriKuS;ICTO-991;Privatkundenstammdatensystem;Speicherung und Verwaltung Privatkundenstammdaten (Paket);Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;12.09.2022
In Produktion;KDA;APP-3325;Kunden Daten Anwendung;Administration der in Prikus gespeicherten DHL Paket Privatkunden-Stammdaten durch Service-Center-Mitarbeitern;Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;PriKuS;APP-2759;Privatkundenstammdatensystem-1017;PriKuS speichert die Privatkunden-Stammdaten (Name, Anschrift, Telefon, eMail) und die jeweils gebuchten Privatkunden-Services (Teilnahme am Newsletter, Packstation, etc.);Abt 1110, ADM Endkunden Paket (00057829);Weber,Dr.,J.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;Standortfinder;ICTO-869;Standortfinder;Standortsuche der Postfilialen, DHL-Paketshops, Packstationen und Briefk„sten;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Esselborn,C., SNL IT P&P, 1130, BN;07.09.2022
Ausser Produktion;Postfinder;APP-5491;Postfinder-1839;gelpant;Abt 1410, ADM Filiale Frontend (00057837);Esselborn,C., SNL IT P&P, 1130, BN;17.08.2022
Ausser Produktion;Postfinder-1838;APP-5409;Postfinder-1838;- zu erg„nzen -;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
In Produktion;Standortsuche D;ITR-3822;Standortsuche D;Suche von Standorten (Paketshops, Packstationen, Briefk„sten, etc.) in Deutschland;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;ZSM;ICTO-1191;Zustellservicemanagement;Erstellung und Verwaltung von Zustellauftr„gen und Ablagevereinbarugen sowie Ausl”ser fr Benachrichtigung von Empf„ngerkunden;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;30.08.2022
In Produktion;Paketsteuerung;ITR-4249;Paketsteuerung;Post-Shipment Parcel management;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;ZSM;APP-5369;Zustellservicemanagement-1750;Mehrere Versionen aktiv mit Enddatum in der Zukunft;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;ZSM;APP-5576;Zustellservicemanagement-1751;Mehrere Versionen aktiv mit Enddatum in der Zukunft;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;ZSM;APP-5578;Zustellservicemanagement-1752;Mehrere Versionen aktiv mit Enddatum in der Zukunft;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;ZSM;APP-5579;Zustellservicemanagement-1753;Mehrere Versionen aktiv mit Enddatum in der Zukunft;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;ZSM-PMC;APP-5370;Zustellservicemanagement - Parcel Management Checkout Microservice;Mehrere Versionen aktiv mit Enddatum in der Zukunft;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;ZSM-PMI-SB;APP-5603;Zustellservicemanagement-1024;Mehrere Versionen aktiv mit Enddatum in der Zukunft;Abt 1110, ADM Endkunden Paket (00057829);Pindor,W.,SNL IT P&P,Abt 1110,BN;17.08.2022
In Produktion;eFILIALE;ICTO-87;eFILIALE;Plattform von Produkten und Dienstleistungen der DP AG  (Post und Paket) im Internet;Abt 1130, ADM Online, Sales & Frank.Post (00057831);Alich, O., SNL IT P&P, 1130, BN;08.09.2022
In Produktion;ABO;APP-4026;eFiliale Abonnements;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;IM;APP-2708;eFiliale Internetmarke;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;KDM;APP-2071;eFiliale Kundendatenmanagement;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;NSA;APP-2163;eFiliale Nachsende/Lagerservice;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;ORA-MySQLConnectorODBC-5.1.13-64-W7-DE-D;ITR-3893;InterServ_ODBC_Treiber;Clientsoftware;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
Ausser Produktion;PA;APP-4025;eFiliale Premiumadress;laut Enddatum abeschaltet;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;Phys. Ware;APP-2069;eFiliale Produktverkauf;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;Shop;APP-2164;eFiliale Shop;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;Telegramm;APP-3373;eFiliale Online Telegramm;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;eFi POP;APP-2070;eFiliale POP Frontend;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;eFiliale Postfach;APP-4768;eFiliale Postfach;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;eFiliale Produktsuche;APP-5125;eFiliale Produktsuche;- zu erg„nzen -;Abt 1130, ADM Online, Sales & Frank.Post (00057831);;17.08.2022
In Produktion;ARS-TR.IO;ICTO-852;Order-Management Filiale;Untersttzung Bestands-, Incident- und Order-Management der Post- & Postbankfilialen;Abt 1410, ADM Filiale Frontend (00057837);Persch,C.,SNL IT P&P,Abt 1410,DA;17.08.2022
Ausser Produktion;IO-Server;APP-5097;IO-Server;laut Enddate nicht mehr aktiv;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
Ausser Produktion;SWM.net;APP-2420;SWM.net;Laut Enddate nicht mehr aktiv;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
In Produktion;myFMS;APP-5095;myFMS;Filialmanagementsystem: Asset Management System fr eigenbetriebene IT-Assets Filiale;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
In Produktion;mySMF;APP-5096;mySMF;- zu erg„nzen -;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
Ausser Produktion;BMA-BE;ICTO-33;Briefmarkenautomat-Backend;M”glichkeit zum Brief- und P„ckchenmarkenkauf rund um die Uhr;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
Ausser Produktion;BMA-Server;APP-4561;BMA-Server;- zu erg„nzen -;Abt 1410, ADM Filiale Frontend (00057837);;17.08.2022
